2025-04-20 14:58:09 Epoch 1, Batch 560/159621, Loss: 0.4127
2025-04-20 14:58:09 Epoch 1, Batch 570/159621, Loss: 0.8167
2025-04-20 14:58:09 Epoch 1, Batch 580/159621, Loss: 0.4632
2025-04-20 14:58:10 Epoch 1, Batch 590/159621, Loss: 0.3939
2025-04-20 14:58:10 Epoch 1, Batch 600/159621, Loss: 0.3387
2025-04-20 14:58:10 Epoch 1, Batch 610/159621, Loss: 0.6057
2025-04-20 14:58:11 Epoch 1, Batch 620/159621, Loss: 0.6233
2025-04-20 14:58:11 Epoch 1, Batch 630/159621, Loss: 0.6328
2025-04-20 14:58:11 Epoch 1, Batch 640/159621, Loss: 0.8655
2025-04-20 14:58:12 Epoch 1, Batch 650/159621, Loss: 0.3843
2025-04-20 14:58:12 Epoch 1, Batch 660/159621, Loss: 0.6222
2025-04-20 14:58:13 Epoch 1, Batch 670/159621, Loss: 0.3788
2025-04-20 14:58:13 Epoch 1, Batch 680/159621, Loss: 0.4295
2025-04-20 14:58:13 Epoch 1, Batch 690/159621, Loss: 0.5223
2025-04-20 14:58:14 Epoch 1, Batch 700/159621, Loss: 0.3707
2025-04-20 14:58:14 Epoch 1, Batch 710/159621, Loss: 0.5483
2025-04-20 14:58:15 Epoch 1, Batch 720/159621, Loss: 0.5603
2025-04-20 14:58:15 Epoch 1, Batch 730/159621, Loss: 0.3058
2025-04-20 14:58:15 Epoch 1, Batch 740/159621, Loss: 0.5437
2025-04-20 14:58:16 Epoch 1, Batch 750/159621, Loss: 0.4500
2025-04-20 14:58:16 Epoch 1, Batch 760/159621, Loss: 0.2982
2025-04-20 14:58:17 Epoch 1, Batch 770/159621, Loss: 0.5921
2025-04-20 14:58:17 Epoch 1, Batch 780/159621, Loss: 0.3668
2025-04-20 14:58:17 Epoch 1, Batch 790/159621, Loss: 0.4185
2025-04-20 14:58:18 Epoch 1, Batch 800/159621, Loss: 0.5401
2025-04-20 14:58:18 Epoch 1, Batch 810/159621, Loss: 0.4789
2025-04-20 14:58:18 Epoch 1, Batch 820/159621, Loss: 0.5246
2025-04-20 14:58:19 Epoch 1, Batch 830/159621, Loss: 0.2191
2025-04-20 14:58:19 Epoch 1, Batch 840/159621, Loss: 0.3212
2025-04-20 14:58:20 Epoch 1, Batch 850/159621, Loss: 0.5151
2025-04-20 14:58:20 Epoch 1, Batch 860/159621, Loss: 0.2712
2025-04-20 14:58:20 Epoch 1, Batch 870/159621, Loss: 0.3264
2025-04-20 14:58:21 Epoch 1, Batch 880/159621, Loss: 0.3993
2025-04-20 14:58:21 Epoch 1, Batch 890/159621, Loss: 0.3780
2025-04-20 14:58:21 Epoch 1, Batch 900/159621, Loss: 0.5341
2025-04-20 14:58:22 Epoch 1, Batch 910/159621, Loss: 0.4654
2025-04-20 14:58:22 Epoch 1, Batch 920/159621, Loss: 0.4122
2025-04-20 14:58:23 Epoch 1, Batch 930/159621, Loss: 0.3005
2025-04-20 14:58:23 Epoch 1, Batch 940/159621, Loss: 0.3448
2025-04-20 14:58:23 Epoch 1, Batch 950/159621, Loss: 0.4915
2025-04-20 14:58:24 Epoch 1, Batch 960/159621, Loss: 0.3955
2025-04-20 14:58:24 Epoch 1, Batch 970/159621, Loss: 0.2651
2025-04-20 14:58:24 Epoch 1, Batch 980/159621, Loss: 0.2751
2025-04-20 14:58:25 Epoch 1, Batch 990/159621, Loss: 0.7139
2025-04-20 14:58:25 Epoch 1, Batch 1000/159621, Loss: 0.3800
2025-04-20 14:58:26 Epoch 1, Batch 1010/159621, Loss: 0.4263
2025-04-20 14:58:26 Epoch 1, Batch 1020/159621, Loss: 0.3679
2025-04-20 14:58:26 Epoch 1, Batch 1030/159621, Loss: 0.2986
2025-04-20 14:58:27 Epoch 1, Batch 1040/159621, Loss: 0.3778
2025-04-20 14:58:27 Epoch 1, Batch 1050/159621, Loss: 0.3884
2025-04-20 14:58:27 Epoch 1, Batch 1060/159621, Loss: 0.4281
2025-04-20 14:58:28 Epoch 1, Batch 1070/159621, Loss: 0.5208
2025-04-20 14:58:28 Epoch 1, Batch 1080/159621, Loss: 0.4147
2025-04-20 14:58:29 Epoch 1, Batch 1090/159621, Loss: 0.2700
2025-04-20 14:58:29 Epoch 1, Batch 1100/159621, Loss: 0.7938
2025-04-20 14:58:29 Epoch 1, Batch 1110/159621, Loss: 0.4058
2025-04-20 14:58:30 Epoch 1, Batch 1120/159621, Loss: 0.3425
2025-04-20 14:58:30 Epoch 1, Batch 1130/159621, Loss: 0.7103
2025-04-20 14:58:30 Epoch 1, Batch 1140/159621, Loss: 0.4178
2025-04-20 14:58:31 Epoch 1, Batch 1150/159621, Loss: 0.6175
2025-04-20 14:58:31 Epoch 1, Batch 1160/159621, Loss: 0.7821
2025-04-20 14:58:31 Epoch 1, Batch 1170/159621, Loss: 0.5725
2025-04-20 14:58:32 Epoch 1, Batch 1180/159621, Loss: 0.5934
2025-04-20 14:58:32 Epoch 1, Batch 1190/159621, Loss: 0.4062
2025-04-20 14:58:33 Epoch 1, Batch 1200/159621, Loss: 0.4306
2025-04-20 14:58:33 Epoch 1, Batch 1210/159621, Loss: 0.4286
2025-04-20 14:58:33 Epoch 1, Batch 1220/159621, Loss: 0.3216
2025-04-20 14:58:34 Epoch 1, Batch 1230/159621, Loss: 0.3435
2025-04-20 14:58:34 Epoch 1, Batch 1240/159621, Loss: 0.4213
2025-04-20 14:58:34 Epoch 1, Batch 1250/159621, Loss: 0.3765
2025-04-20 14:58:35 Epoch 1, Batch 1260/159621, Loss: 0.4152
2025-04-20 14:58:35 Epoch 1, Batch 1270/159621, Loss: 0.4915
2025-04-20 14:58:36 Epoch 1, Batch 1280/159621, Loss: 0.8062
2025-04-20 14:58:36 Epoch 1, Batch 1290/159621, Loss: 0.1747
2025-04-20 14:58:36 Epoch 1, Batch 1300/159621, Loss: 0.3216
2025-04-20 14:58:37 Epoch 1, Batch 1310/159621, Loss: 0.5355
2025-04-20 14:58:37 Epoch 1, Batch 1320/159621, Loss: 0.4228
